id;nome;estado_id;codigo_ibge;;;44;Nossa Senhora do Livramento Monsenhor Tabosa
73;Craíbas;2;2355;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Craíbas','2355','2');;
74;Delmiro Gouveia;2;2405;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Delmiro Gouveia','2405','2');;
75;Dois Riachos;2;2504;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Dois Riachos','2504','2');;
76;Entremontes Piranhas;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Entremontes Piranhas','0','2');;
77;Estrela de Alagoas;2;2553;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Estrela de Alagoas','2553','2');;
78;Feira Grande;2;2603;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Feira Grande','2603','2');;
79;Feliz Deserto;2;2702;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Feliz Deserto','2702','2');;
81;Flexeiras;2;2801;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Flexeiras','2801','2');;
83;Gaspar Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Gaspar Arapiraca','0','2');;
84;Girau do Ponciano;2;2900;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Girau do Ponciano','2900','2');;
85;Ibateguara;2;3007;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Ibateguara','3007','2');;
86;Igaci;2;3106;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Igaci','3106','2');;
87;Igreja Nova;2;3205;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Igreja Nova','3205','2');;
88;Inhapi;2;3304;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Inhapi','3304','2');;
89;Jacaré dos Homens;2;3403;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Jacaré dos Homens','3403','2');;
90;Jacuípe;2;3502;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Jacuípe','3502','2');;
91;Japaratinga;2;3601;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Japaratinga','3601','2');;
92;Jaramataia;2;3700;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Jaramataia','3700','2');;
93;Jenipapo Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Jenipapo Arapiraca','0','2');;
94;Joaquim Gomes;2;3809;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Joaquim Gomes','3809','2');;
95;Jundiá;2;3908;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Jundiá','3908','2');;
96;Junqueiro;2;4005;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Junqueiro','4005','2');;
97;Lagoa da Areia Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Lagoa da Areia Palmeira dos Índios','0','2');;
98;Lagoa da Canoa;2;4104;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Lagoa da Canoa','4104','2');;
99;Lagoa da Pedra Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Lagoa da Pedra Arapiraca','0','2');;
100;Lagoa Dantas Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Lagoa Dantas Palmeira dos Índios','0','2');;
101;Lagoa do Caldeirão Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Lagoa do Caldeirão Palmeira dos Índios','0','2');;
102;Lagoa do Canto Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Lagoa do Canto Palmeira dos Índios','0','2');;
103;Lagoa do Exú Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Lagoa do Exú Palmeira dos Índios','0','2');;
104;Lagoa do Rancho Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Lagoa do Rancho Arapiraca','0','2');;
105;Lagoa do Rancho Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Lagoa do Rancho Palmeira dos Índios','0','2');;
106;Lajes do Caldeirão Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Lajes do Caldeirão Palmeira dos Índios','0','2');;
107;Laranjal Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Laranjal Arapiraca','0','2');;
108;Limoeiro de Anadia;2;4203;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Limoeiro de Anadia','4203','2');;
109;Maceió;2;4302;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Maceió','4302','2');;
110;Major Isidoro;2;4401;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Major Isidoro','4401','2');;
111;Mar Vermelho;2;4906;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Mar Vermelho','4906','2');;
112;Maragogi;2;4500;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Maragogi','4500','2');;
113;Maravilha;2;4609;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Maravilha','4609','2');;
114;Marechal Deodoro;2;4708;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Marechal Deodoro','4708','2');;
115;Maribondo;2;4807;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Maribondo','4807','2');;
116;Massaranduba Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Massaranduba Arapiraca','0','2');;
117;Mata Grande;2;5002;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Mata Grande','5002','2');;
118;Matriz de Camaragibe;2;5101;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Matriz de Camaragibe','5101','2');;
119;Messias;2;5200;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Messias','5200','2');;
120;Minador do Negrão;2;5309;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Minador do Negrão','5309','2');;
121;Monteirópolis;2;5408;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Monteirópolis','5408','2');;
122;Moreira Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Moreira Palmeira dos Índios','0','2');;
123;Munguba Santana do Mundaú;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Munguba Santana do Mundaú','0','2');;
124;Murici;2;5507;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Murici','5507','2');;
125;Novo Lino;2;5606;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Novo Lino','5606','2');;
126;Olho D Água Grande;2;5903;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Olho D Água Grande','5903','2');;
127;Olho D Água das Flores;2;5705;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Olho D Água das Flores','5705','2');;
128;Olho D Água de Cima Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Olho D Água de Cima Arapiraca','0','2');;
129;Olho D Água do Casado;2;5804;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Olho D Água do Casado','5804','2');;
130;Olho D Água dos Dandanhas Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Olho D Água dos Dandanhas Arapiraca','0','2');;
131;Olivença;2;6000;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Olivença','6000','2');;
132;Ouro Branco;2;6109;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Ouro Branco','6109','2');;
133;Palestina;2;6208;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Palestina','6208','2');;
134;Palmeira de Fora Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Palmeira de Fora Palmeira dos Índios','0','2');;
135;Palmeira dos Índios;2;6307;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Palmeira dos Índios','6307','2');;
136;Pão de Açúcar;2;6406;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Pão de Açúcar','6406','2');;
137;Pariconha;2;6422;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Pariconha','6422','2');;
138;Paripueira;2;6448;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Paripueira','6448','2');;
139;Passo de Camaragibe;2;6505;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Passo de Camaragibe','6505','2');;
140;Pau D Arco Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Pau D Arco Arapiraca','0','2');;
141;Pau Ferro Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Pau Ferro Arapiraca','0','2');;
142;Paulo Jacinto;2;6604;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Paulo Jacinto','6604','2');;
143;Penedo;2;6703;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Penedo','6703','2');;
144;Piaçabuçu;2;6802;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Piaçabuçu','6802','2');;
145;Pilar;2;6901;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Pilar','6901','2');;
146;Pindoba;2;7008;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Pindoba','7008','2');;
147;Piranhas;2;7107;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Piranhas','7107','2');;
148;Poção Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Poção Arapiraca','0','2');;
149;Poço da Pedra Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Poço da Pedra Arapiraca','0','2');;
150;Poço das Trincheiras;2;7206;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Poço das Trincheiras','7206','2');;
151;Porto Calvo;2;7305;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Porto Calvo','7305','2');;
152;Porto de Pedras;2;7404;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Porto de Pedras','7404','2');;
